ID,value
11011,58.7
13164,28.8
13166,28.8
13382,144.5
14363,206
14364,206
14381,100.5
15142,184
15261,99.5
15364,173.5
15601,398
15864,54.5
15865,54.5
15984,162
15991,62
16095,68
17813,52.6
20344,47.3
20632,60
21043,52.8
22013,94.5
22081,42.9
22283,154
22313,268
23372,60.9
23383,117
23682,284
23836,641
23837,641
24271,38.8
24361,115.5
24394,197.5
24395,197.5
24423,39.1
24424,39.1
24642,98.5
24762,119
24866,151.5
25283,57
25284,57
25483,192
25484,192
26417,43.85
27271,374
27323,209
27551,201.5
27561,172
29061,29.85
30061,213
30134,176
30165,154.5
30238,387
30337,42.15
30454,123
30455,123
30882,119.5
30954,85
31222,72.8
31382,518
31413,292.5
32071,167
32571,97.9
32723,28.8
33035,72
33055,92.4
33121,110.5
33133,28.65
33225,31.8
33245,965
33466,67.6
33571,248.5
33621,299.5
33763,273.5
33881,91.9
33902,39.8
34163,163
34341,51.4
34793,132.5
34834,234
34843,96
34912,497
35161,35.7
35181,47.85
35221,61.5
35266,269
35482,300.5
35483,300.5
35642,138
35831,525
35832,525
35871,328
35914,33.4
36053,69.4
36913,247.5
37022,102.5
37023,102.5
41234,101
41235,101
41236,101
41237,101
41372,263
41644,75.7
41903,152.5
44163,123
44382,171
44391,217
45102,65.8
45421,120
45491,234
45553,69
45641,75.7
45691,327
45721,203
47393,176.5
49793,264.5
49794,264.5
50097,63.2
50114,46.45
52091,220
52121,82.6
52441,61.8
52452,109.5
52843,239.5
53064,255
53095,55.5
53211,159
53887,151.5
54501,31
54573,138.5
56086,76.3
56087,76.3
61041,333.5
61112,264.5
61255,140
61394,3666
61506,420
61794,56.8
61828,89.5
61843,56
61906,47.3
61965,195
61973,204
62235,"1,040.00"
62433,90.4
62695,153
62696,153
62744,201.5
62791,194
62822,59.5
62843,107
62884,40.15
64145,376
64251,101
64324,57.5
64421,666
64512,289
64723,1030
65096,82.9
65461,245
65521,156.5
65841,249.5
65842,249.5
66033,23.85
66163,42.25
66241,50.8
66292,155
66451,47.4
66642,354
66801,119.5
67152,223
67531,175.5
67611,221.5
67681,173.5
67961,152
68301,232.5
68351,81
68401,136.5
68461,120.5
68462,120.5
68541,277.5
68631,323
68702,292
68741,219
80282,183
80914,176.5
81473,163.5
81551,216.5
81714,74.2
81715,74.2
82101,347.5
82551,297
82991,785
82992,785
83742,169
84112,37.9
84221,251.5
84332,108.5
84333,108.5
84422,135
84672,351
84673,351
84881,20.85
84891,369.5
89277,78.3
89278,78.3
98026,205
99063,237
99211,376.5
99332,55.6
99353,51.5
99392,178.5
99412,254
99587,373.5
99588,373.5
140201,54.3
140202,35.95
